Kind,Name,PercentLackOfCohesion
Public Class,"View.TelasADM.CadastroGerente",75
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_1)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_2)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_3)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_4)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_5)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_6)",0
Class,"View.TelasADM.CadastroGerente.jjPanel1.(Anon_7)",0
Public Class,"View.TelasADM.MenuADM",88
Class,"View.TelasADM.MenuADM.jButton3.(Anon_3)",0
Class,"View.TelasADM.MenuADM.jDesktopPane2Layout.(Anon_2)",0
Class,"View.TelasADM.MenuADM.jPanel1.(Anon_1)",0
Class,"View.TelasADM.MenuADM.jPanel3.(Anon_4)",0
Class,"View.TelasADM.MenuADM.jPanel3.(Anon_5)",0
Class,"View.TelasADM.MenuADM.main.(Anon_6)",0
Public Class,"View.TelasADM.MenuADMProduct",33
Class,"View.TelasADM.MenuADMProduct.jButton1.(Anon_1)",0
Public Class,"View.TelasGerais.EsqueciSenha",87
Class,"View.TelasGerais.EsqueciSenha.initComponents.(Anon_1)",0
Class,"View.TelasGerais.EsqueciSenha.initComponents.(Anon_2)",0
Class,"View.TelasGerais.EsqueciSenha.jBntVerificar.(Anon_4)",0
Class,"View.TelasGerais.EsqueciSenha.jBntVerificar.(Anon_5)",0
Class,"View.TelasGerais.EsqueciSenha.jBntVerificar.(Anon_6)",0
Class,"View.TelasGerais.EsqueciSenha.jPanel2.(Anon_3)",0
Class,"View.TelasGerais.EsqueciSenha.main.(Anon_7)",0
Public Class,"View.TelasGerais.EsqueciSenhaProduct",55
Public Class,"View.TelasGerais.Login",91
Class,"View.TelasGerais.Login.hjPanel1.(Anon_1)",0
Class,"View.TelasGerais.Login.hjPanel1.(Anon_2)",0
Class,"View.TelasGerais.Login.jBntEntrar.(Anon_9)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_3)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_4)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_5)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_6)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_7)",0
Class,"View.TelasGerais.Login.jPanel1.(Anon_8)",0
Class,"View.TelasGerais.Login.jTextField1.(Anon_10)",0
Class,"View.TelasGerais.Login.jTextField1.(Anon_11)",0
Class,"View.TelasGerais.Login.main.(Anon_12)",0
Public Class,"View.TelasGerais.LoginProduct",0
Public Class,"View.TelasGerais.TelaSplash",73
Class,"View.TelasGerais.TelaSplash.main.(Anon_1)",0
Public Class,"View.TelasGerais.TelaSplashProduct",50
Class,"View.TelasGerais.TelaSplashProduct.formWindowOpened.(Anon_2)",0
Class,"View.TelasGerais.TelaSplashProduct.jLabel15.(Anon_1)",0
Public Class,"View.TelasGerente.CadastroPromocao",89
Class,"View.TelasGerente.CadastroPromocao.cadastroPromocaoProduct.(Anon_7)",0
Class,"View.TelasGerente.CadastroPromocao.cadastroPromocaoProduct.(Anon_8)",0
Class,"View.TelasGerente.CadastroPromocao.jjPanel7.(Anon_1)",0
Class,"View.TelasGerente.CadastroPromocao.jjPanel7.(Anon_2)",0
Class,"View.TelasGerente.CadastroPromocao.jjPanel7.(Anon_3)",0
Class,"View.TelasGerente.CadastroPromocao.jjPanel7.(Anon_4)",0
Class,"View.TelasGerente.CadastroPromocao.jjPanel7.(Anon_5)",0
Class,"View.TelasGerente.CadastroPromocao.main.(Anon_9)",0
Class,"View.TelasGerente.CadastroPromocao.mjPanel7.(Anon_6)",0
Public Class,"View.TelasGerente.CadastroPromocaoProduct",40
Public Class,"View.TelasGerente.CadastroPromocaoProduct2",50
Public Class,"View.TelasGerente.CadastroQuarto",14
Class,"View.TelasGerente.CadastroQuarto.jButton3.(Anon_2)",0
Class,"View.TelasGerente.CadastroQuarto.jPanel1Layout.(Anon_1)",0
Public Class,"View.TelasGerente.CadastroQuartoData",100
Public Class,"View.TelasGerente.CadastroQuartoDataC",0
Public Class,"View.TelasGerente.CadastroRecepcionista",68
Class,"View.TelasGerente.CadastroRecepcionista.jButton1.(Anon_1)",0
Class,"View.TelasGerente.CadastroRecepcionista.jButton1.(Anon_2)",0
Class,"View.TelasGerente.CadastroRecepcionista.jButton1.(Anon_3)",0
Class,"View.TelasGerente.CadastroRecepcionista.jButton1.(Anon_4)",0
Class,"View.TelasGerente.CadastroRecepcionista.jButton1.(Anon_5)",0
Public Class,"View.TelasGerente.CadastroRecepcionistaProduct",33
Class,"View.TelasGerente.CadastroRecepcionistaProduct.jButton2.(Anon_1)",0
Public Class,"View.TelasGerente.CadastroServico",61
Class,"View.TelasGerente.CadastroServico.tjPanel1.(Anon_1)",0
Class,"View.TelasGerente.CadastroServico.tjPanel1.(Anon_2)",0
Public Class,"View.TelasGerente.ConsultarRecepcionista",86
Class,"View.TelasGerente.ConsultarRecepcionista.jPanel7.(Anon_3)",0
Class,"View.TelasGerente.ConsultarRecepcionista.jPanel7.(Anon_4)",0
Class,"View.TelasGerente.ConsultarRecepcionista.jjPanel7.(Anon_1)",0
Class,"View.TelasGerente.ConsultarRecepcionista.jjPanel7.(Anon_2)",0
Class,"View.TelasGerente.ConsultarRecepcionista.kjPanel7.(Anon_5)",0
Class,"View.TelasGerente.ConsultarRecepcionista.main.(Anon_6)",0
Public Class,"View.TelasGerente.ConsultarRecepcionistaProduct",50
Public Class,"View.TelasGerente.ConsultarRecepcionistaProduct2",40
Public Class,"View.TelasGerente.EditarHospede",89
Class,"View.TelasGerente.EditarHospede.jButton5.(Anon_10)",0
Class,"View.TelasGerente.EditarHospede.jButton5.(Anon_11)",0
Class,"View.TelasGerente.EditarHospede.jButton5.(Anon_9)",0
Class,"View.TelasGerente.EditarHospede.jButton7.(Anon_8)",0
Class,"View.TelasGerente.EditarHospede.jPanel8.(Anon_4)",0
Class,"View.TelasGerente.EditarHospede.jPanel8.(Anon_5)",0
Class,"View.TelasGerente.EditarHospede.jPanel8.(Anon_6)",0
Class,"View.TelasGerente.EditarHospede.jPanel8.(Anon_7)",0
Class,"View.TelasGerente.EditarHospede.jjPanel8.(Anon_1)",0
Class,"View.TelasGerente.EditarHospede.jjPanel8.(Anon_2)",0
Class,"View.TelasGerente.EditarHospede.jjPanel8.(Anon_3)",0
Class,"View.TelasGerente.EditarHospede.main.(Anon_12)",0
Public Class,"View.TelasGerente.EditarHospedeProduct",50
Public Class,"View.TelasGerente.EditarReservas",88
Class,"View.TelasGerente.EditarReservas.jButton5.(Anon_8)",0
Class,"View.TelasGerente.EditarReservas.jButton6.(Anon_7)",0
Class,"View.TelasGerente.EditarReservas.jPanel8.(Anon_4)",0
Class,"View.TelasGerente.EditarReservas.jPanel8.(Anon_5)",0
Class,"View.TelasGerente.EditarReservas.jPanel8.(Anon_6)",0
Class,"View.TelasGerente.EditarReservas.jjPanel8.(Anon_1)",0
Class,"View.TelasGerente.EditarReservas.jjPanel8.(Anon_2)",0
Class,"View.TelasGerente.EditarReservas.jjPanel8.(Anon_3)",0
Class,"View.TelasGerente.EditarReservas.main.(Anon_9)",0
Public Class,"View.TelasGerente.EditarReservasProduct",50
Public Class,"View.TelasGerente.ListarQuartosMaisUsados",84
Class,"View.TelasGerente.ListarQuartosMaisUsados.jPanel7.(Anon_4)",0
Class,"View.TelasGerente.ListarQuartosMaisUsados.main.(Anon_5)",0
Class,"View.TelasGerente.ListarQuartosMaisUsados.rjPanel7.(Anon_1)",0
Class,"View.TelasGerente.ListarQuartosMaisUsados.rjPanel7.(Anon_2)",0
Class,"View.TelasGerente.ListarQuartosMaisUsados.rjPanel7.(Anon_3)",0
Public Class,"View.TelasGerente.ListarQuartosMaisUsadosProduct",50
Public Class,"View.TelasGerente.MenuGerente",34
Class,"View.TelasGerente.MenuGerente.jBtnConsultaRecepcionista.(Anon_8)",0
Class,"View.TelasGerente.MenuGerente.jBtnEditarHospede.(Anon_7)",0
Class,"View.TelasGerente.MenuGerente.jBtnEditarReserva.(Anon_6)",0
Class,"View.TelasGerente.MenuGerente.jBtnMaisUsados.(Anon_5)",0
Class,"View.TelasGerente.MenuGerente.jBtnPromocoes.(Anon_4)",0
Class,"View.TelasGerente.MenuGerente.jBtnRecepcionista.(Anon_11)",0
Class,"View.TelasGerente.MenuGerente.jBtnRecepcionista.(Anon_12)",0
Class,"View.TelasGerente.MenuGerente.jBtnRecepcionista.(Anon_13)",0
Class,"View.TelasGerente.MenuGerente.jBtnRelatorio.(Anon_10)",0
Class,"View.TelasGerente.MenuGerente.jBtnRelatorio1.(Anon_9)",0
Class,"View.TelasGerente.MenuGerente.jPanel3.(Anon_3)",0
Class,"View.TelasGerente.MenuGerente.main.(Anon_14)",0
Class,"View.TelasGerente.MenuGerente.yjPanel3.(Anon_1)",0
Class,"View.TelasGerente.MenuGerente.yjPanel3.(Anon_2)",0
Public Class,"View.TelasGerente.MenuGerenteData",90
Public Class,"View.TelasGerente.MenuGerenteDatar",0
Public Class,"View.TelasGerente.MenuGerenteProduct",0
Public Class,"View.TelasGerente.MenuGerenteProduct2",0
Public Class,"View.TelasGerente.MenuGerenteProduct2Data",100
Public Interface,"View.TelasGerente.cad",0
Public Interface,"View.TelasGerente.cada",0
Public Class,"View.TelasHospede.AlugarSalaoDeFesta",86
Class,"View.TelasHospede.AlugarSalaoDeFesta.initComponents.(Anon_1)",0
Class,"View.TelasHospede.AlugarSalaoDeFesta.initComponents.(Anon_2)",0
Class,"View.TelasHospede.AlugarSalaoDeFesta.initComponents.(Anon_3)",0
Class,"View.TelasHospede.AlugarSalaoDeFesta.jPanel7.(Anon_4)",0
Class,"View.TelasHospede.AlugarSalaoDeFesta.main.(Anon_5)",0
